User Name,Number of Reviews by User,RfnDt 2,Time When reviewed,Reviews
Cathleen Colehour,· 221 reviews,Local Guide,4 years ago,"I find this location to be very helpful, efficient, and courteous."
Sebastian Capatina,4 reviews,,4 years ago,technical difficulties all week. useless post office
Kevin Jacobson,· 12 reviews,Local Guide,10 months ago,Very good
Bill Smith,9 reviews,,5 years ago,rude Chinese staff. Wait forever to get a parcel. Have you seen GHETTO ?
Pro Gamer,· 64 reviews,Local Guide,3 years ago,The person didnt even say hello or anything!
Abu Afza,· 253 reviews,Local Guide,4 years ago,Good service
Ben Kearon,3 reviews,,3 years ago,Awful service
IMAD MAKki,· 32 reviews,Local Guide,5 months ago,
Mike S,· 11 reviews,Local Guide,2 years ago,
David Fix,· 148 reviews,Local Guide,2 years ago,
Beauty Is Diverse,,,a year ago,
rabah Mamou,· 19 reviews,Local Guide,3 years ago,
sasika gunasekara,· 224 reviews,Local Guide,2 years ago,Visited on a sunday afternoon and actually had a really great customer experience. There were no other customers at the time and the one staff member guided me through all the options available to me after listening to my needs. Also much …
Daniela Quintana Linares,5 reviews,,10 months ago,"Such an awful customer service (Solace). I asked the delivery time for an small envelope and the answer was ""it takes what it takes..."" I found that very rude because I have been in other Canada Post locations and they have provided an …"
LIDZ,· 50 reviews,Local Guide,a year ago,"I’ve always had great experience at this Canada post office. They are quick, nice and respectful. I would like to thank “Samantha” who works here. She always treats the costumers including me, very nicely and professionally."
Georgia,· 15 reviews,Local Guide,a year ago,"Shoutout to Shane for being such a friendly, helpful, and efficient person! After arriving to pick up a package, with maybe 8 people ahead of me I was attended to faster than I have been at any other Canada post centre, and the service received was great!!"
Ilana B,3 reviews,,a year ago,"The two ladies working there were uninformative, unhelpful and downright rude. Specifically asked and double checked about tracking options, filled out the forms and paid - only to find out that tracking was not included! When I went back …"
Dean Guilbault,14 reviews,,2 years ago,Best Canada Post office I've been to. Shane is my favourite employee who is always happy to help and give the best service. I go to this location on a weekly basis to drop off packages for our customers and have never had a bad experience.
生煎馒头Fried Meat Bun,5 reviews,,11 months ago,"Horrible services, leaves only one new girl with bunch of customers at the peak time who’s doing her job extremely slow, then she kicked out about 5 or 6 customers who have been already lining up for about 30 mins because it was 9 pm. Even worse, she blames us came up too late and effected her off time. What a joke!"
Ricky Fu,10 reviews,,2 years ago,"As others mentioned, Shane is always friendly, respectful, and hardworking. Others may come off as rude, but honestly it's mostly frustration because people don't come prepared. …"
J B,1 review,,2 years ago,The site says the post office closes at 5 on Sunday so I trusted that and made the trip down there. They started cutting people off 15mim prior however. The line was short enough that I probably still could've mailed my package before 5. …
Koba Kan,7 reviews,,a year ago,Been going there for a few months now and I always have a great experience. Staff are welcoming and super friendly. Very quick and efficient and never had any issues unlike other CP spots. 5 ⭐️
Alandra Jordan,11 reviews,,2 years ago,"Wow. The people that work here have no clue what they are doing. The line is a minimum of 20 minutes at any given time (if you get lucky) and the person at the desk is slow, chatty and has no respect for people or their parcels. Do NOT come …"
Maria Diana,· 17 reviews,Local Guide,a year ago,The rudest person (Solace) works here and literally tries arguing with you with no valid reason to. I could already tell she was in a bad mood just from simply asking me what my name is. The entire time felt like she was taking out whatever problems she had on me.
416 Express,52 reviews,,2 years ago,"I thought it was the worst serviced store I've ever been to in Canada Post.  In particular, a woman named Sylvia is always in a bad mood, and when I ask various questions, she bullishly replies that I can't do the service.  I thought it was better to stop the attitude of making a fool of the other person. Shame on you."
Janice Kasa,5 reviews,,3 years ago,This post office is chronically under staffed. There are two registers but only 1 person working at any given time. Always a line up. During Christmas wait is a good 45 mins. Please train more of your staff to work as back up in the post office when it gets busy.
Mike B,6 reviews,,7 years ago,"Terrible post office. After taking my exact piece of mail, Ian quoted me a rate, a rate in which I passed on to multiple customers to make payment. when I went back to actually send them out, Ruben said it was going to cost more than twice …"
Teydan Chmay,· 51 reviews,Local Guide,2 years ago,"Everyone at that place seemed to be a complete see you next Tuesday. Personalities of wet mops, did not have a good time with them at all. Glad I was able to ship my package after three attempts."
Soo Jeong Han,3 reviews,,3 years ago,"I don't usually write reviews, but I had to because Shane that works here is always very friendly and helpful every time I visit. Thanks to him, shipping was always very quick and efficient for me."
Tiffany Wong,11 reviews,,4 years ago,Today is July 4th and I got an email saying that my package has been returned even though the final notice email said I had until July 8th. I’m currently on vacation in Europe and don’t have a Canadian sim to call or do anything about it. My roommate went to try and get it today and the lady was very rude to her.
Mahsa Ardali,· 50 reviews,Local Guide,3 years ago,We recieved a very pleasant service from Shane every single time. I wish to have more people like him in all customer service positions.
P X,· 36 reviews,Local Guide,6 months ago,The lady went far and beyond to help and gave cheapest solution. Thank you
angela hong,· 41 reviews,Local Guide,3 years ago,"Honestly the worst post office ever. Got there at 8:40 and the clerk only said they were about to close, but did not say he would stop serving everyone at 9. there were at least 5 people before me, and the clerk just stopped serving us. Absolutely ridiculous and extremely understaffed."
RIV E,· 92 reviews,Local Guide,2 years ago,"I come here often to return Amazon packages, and the older guy who’s always there in the evening is consistently always great and is more than happy to help. Great customer service."
Sydney,· 26 reviews,Local Guide,2 years ago,Never thought I’d leave a review for a Canada Post office... Shane is awesome!
Jim Duncan,4 reviews,,a year ago,"Here most days for my online business. Staff always friendly and efficient, always a smile."
Alex Z,· 55 reviews,Local Guide,3 years ago,Shane is the best. He makes this post office a pleasant place to visit every time.
Kalika Ray,2 reviews,,3 years ago,"Came here at 8:40 , wait in line, the staff is super slow and took 20 minute to mail stuff out for the person in front, and told rest of us he is closed ? We waited in line way before 9pm ... so unreasonable ..."
Neville Lawrence,· 390 reviews,Local Guide,3 years ago,This poses for several era in the downtown Toronto and people got it together for a good time proceeding tool are convention to be held Friday Saturday and Sunday of this week
Bonnie Bowerman,4 reviews,,4 years ago,It would be helpful if they told people the office has permanently closed and moved to the Shopper's Drug Mart at Queen's Quay and Spadina.
Michele Pulley,8 reviews,,a year ago,I have always found this Post Office very friendly and very helpful !
Vijayaraghavan R,· 13 reviews,Local Guide,a year ago,"Shane is awesome , he makes this Canada post best place to go"
Emil Penev,· 202 reviews,Local Guide,2 years ago,Best customer service ever from Shane! Thank you Shane! Exceed expectations!
David Turner,· 467 reviews,Local Guide,3 years ago,"Service can be slow at tines, but generally quite good."
Julie Huang,· 163 reviews,Local Guide,2 years ago,Appreciate the slightly later hours than some other Canada Post locations.
Shawna B,· 547 reviews,Local Guide,4 years ago,Never a problem sending or receiving packages here.
Suhyun Hwang,5 reviews,,4 years ago,"As far as Canada Post offices go, its pretty standard"
Cloris Tang,· 45 reviews,Local Guide,2 years ago,The girl was horrible. Didn’t want to help us.
chris dupuis,· 45 reviews,Local Guide,2 years ago,"This is the best Canada Post ever, amazing staff!!!"
Ella Tan,7 reviews,,2 years ago,The staff are very polite and helpful.
Mónica Rosas,4 reviews,,4 years ago,The woman at the counter is EXTREMELY rude
S B,5 reviews,,3 years ago,Friendly service.
M W,4 reviews,,3 years ago,Friendly and professional
Andrew Benteau,· 24 reviews,Local Guide,3 years ago,Horrible service
Valley Li,2 reviews,,4 years ago,
مازن الغريب mazin,,,6 years ago,
NAINA GULATI,· 4 reviews,Local Guide,2 years ago,
Darrell Drake,2 reviews,,6 years ago,
Lilien Chow,3 reviews,,2 years ago,
4Scarrs Gaming,2 reviews,,3 years ago,
Michael Campagnaro,· 14 reviews,Local Guide,4 years ago,
Omar Fayez,· 46 reviews,Local Guide,8 months ago,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Ava Oraii,1 review,,2 months ago,"The staff is very rude and impatient!!! It's the closest Canada Post near my place, but I would never step foot in it again! The asian lady working there gave me an attitude because I was not familiar with the protocols and shipments. …"
Uli Najaf,· 79 reviews,Local Guide,2 months ago,"Really rude staff here. Especially, Filippino lady with short hair cut. Customer service is below zero. If you have a chance to go to another location, GO."
Charlie Nyiti,· 74 reviews,Local Guide,a month ago,"One of the worst Canada post experiences I've ever had, not only did they not have extra packing material (cheap but understandable) they wouldn't even give me tape to close my box, very short with me, rude etc, ended up having to pay like 7 dollars more than I wanted and I think they over charged the woman next to me as well"
Eathan hawke,7 reviews,,2 months ago,Filipina lady working today @ post office was extremely rude !! Needs customer service training asap .. as if she was doing me a favour ..
Jason King,10 reviews,,9 months ago,"I don't even want to give one star. This is one of the worse Post Office's I have been to. I work for a Business, I go these to mail things and have been doing so for 9 years, in the past two weeks I have had to go there to pickup …"
Olivia Thu,1 review,,7 months ago,"Staffs are so rude and have a huge attitude problems. I'm sorry we are paying customers and there they are, treating customers like as if we are going there just to bother them. I don't even expect friendly service, just do your job efficiently without giving customers attitude. Please do something about it, Canada Post."
Queen B,5 reviews,,7 months ago,"Racism and rudeness. A short lady
She looks like a filipino or asian. I came there requesting to ship an item and a white lady came. This lady actually attended to the white lady for almost an …"
T H,· 8 reviews,Local Guide,7 months ago,"I had no trouble from the staff at this location, though they were seriously understaffed and it took a long time to get through. I don't blame the woman working the counter for that."
Seif Eldine Elgowakhy,· 3 reviews,Local Guide,10 months ago,"Canada post. You really do have a big problem with the staff at this location. Unfortunately, this location is the closest to my place but each time I go my experience will be worse than the previous one. Employees are extremely rude, have …"
Jessica Nguyen,11 reviews,,a year ago,"The Filipino staffs there gave me attitude every time I ask any questions. After my questions, they looked at each other like what the heck this girl is asking before giving any explanation or answer. If you are not willing to work in a customer service position, you better not to be there."
C C,3 reviews,,a year ago,"This Canada post needs to properly train your employees, I have had 3 bad experience at this locations. I went into the store last night and asked for the price and ETA for express shipping, because I need to get a package to a friend asap. …"
Joyce,· 10 reviews,Local Guide,8 months ago,Did a quick drop off at this location and somehow the older lady behind the counter managed to make me feel disrespected in our 1 minute encounter. She just stared at me when I said thank you and goodbye lol.
Jamie Gibson,4 reviews,,8 months ago,"I was expecting a nightmare based on these other reviews. But I found there was nothing wrong. I mean, it's a post office, people. Cut these workers some slack. Toronto folks need to CHILL OUT."
Giannina Nava González,· 23 reviews,Local Guide,2 weeks ago,"I have a good experience, very fast!"
Aashish Maru,21 reviews,,8 months ago,"I was a bit skeptical about this particular branch due to google reviews. But to my surprise, the staff was very helpful to me. Thanks Canada Post."
Leelee Macdonell,10 reviews,,3 years ago,"Every time I’ve been here there is only 1 lady working, always the same lady, who seems to be easily flustered and isn’t particularly friendly nor helpful, or knowledgable. My last visit I was mailing an international package and wanted to use stamps, because the recipient collects stamps and would appreciate old fashioned stamps over a price label. I asked for large denomination international stamps and the lady said Canada Post didn’t have any, that they don’t sell them anymore. She gave me over 20 P stamps to put on a small packet...When I asked for US stamps, because they’re higher value than P stamps, thinking I’d have to use less of those, she seemed to get a bit overwhelmed and stressed, like she didn’t quite know what she was doing, and just said “no.”. I’ve tried to buy stamps from here before and they never have a good stock of stamps, certainly no international stamps. It’s a poorly staffed and stocked location. I go there because it’s close to where I live but think I will be walking out of my way to find better service."
ll Cynthia,4 reviews,,3 years ago,"Sharon, the receptionist of Canada Post is so patient and nice when I need to send emergency mail back to home. She is very empathetic and encourages me to cheer up. This is definitely the best experience I have with Canada Post."
mel te,9 reviews,,5 years ago,Tried to drop a parcel that already had a label printed. She could not read the postal code on a printed label. She did not accept parcel because her comprehension was low on how to use the system.  Bottom line-She said the system did not …
Alyssa,37 reviews,,4 years ago,"Always love to send my parcels from here to family. The staff have saved my skin on a few occasions suggesting the most cost effective ways to ship things like gifts. If you goof up on your packing, they also have supplies there you can buy so you dont have to head all the way home. 10/10"
Ha Bui,3 reviews,,a year ago,The two middle age Filipino woman are always rude and super annoying with customer as if we own them something. Canada post needs to review their employees at this location
Ro,12 reviews,,a year ago,"Rudest staff, made shipping hell and I prepared everything in advance…told me I did something wrong and I wouldn’t get my refund the way I packaged it but I told her to do it anyway and it went fine so glad I didn’t listen to her because I did get refunded the way I sent the packages"
JOSE MANUEL,4 reviews,,a year ago,The Filipina old woman is so rude hopfully soon get fired she always givme hard time and I can see more reviews is happening with more people i don't understand why people without any training in customer service still working there
Jim Hopper,· 23 reviews,Local Guide,4 years ago,The lady working behind the counter would not provide me with 2 centimetres of tape! She said I would have to go and buy my own tape. I spent 30$ to ship my package. What a joke. Glorified  union paper boys. Hopefully the private sector wipes this dumb corporation out
Ranger Hunt,1 review,,2 years ago,"Canada post need to do something about their staff in this location. They are very Disrespectful, Becky as the office manager is a very disrespectful person, giving attitude to the customers, it's not the customers fault if we make a mistake, THIS IS NOT THE FIRST TIME!!!!"
Hailey Wolfman,3 reviews,,a year ago,The employees are very slow and overcharge you. Better off going to the Canada post location near sporting life!!
Reeman Marzouqah,1 review,,2 years ago,The staff are very rude. They lack knowledge of customer service. I am curious to know how Canada post evaluates its employees.
Xinyuan Zhu,2 reviews,,a year ago,"Got a money order and two envelopes there for my passport, nice staff and efficient service!"
Rishabh Saha,· 11 reviews,Local Guide,2 years ago,The staff is rude and provides poor service. Not at all friendly. I felt uncomfortable doing a pickup at this location.
cris olio,1 review,,2 years ago,"Really poor service at this Canada post location ... staff are rude and unpleasant..not to mention that they keep talking in their own language in front of us ... as we were not there , totally unprofessional and  disrespectful..."
Jenna Nu,2 reviews,,2 years ago,Same story as everyone.  Not sure why Canada Post headquarters doesn't do a proper assessment of its employees.
J,39 reviews,,a year ago,"Typical Canada Lost location where some employee is not properly trained and doesn’t know how to treat commercial accounts, was unwilling to help and rude 🙄🙄🙄 …"
Ignatius,7 reviews,,3 months ago,Becky works slow
Natalie Lessard,3 reviews,,4 years ago,0 stars for Becky at the cash desk. She was extremely unfriendly and unhelpful.
Christian Breen,5 reviews,,2 years ago,I've always gone to this location. The staff are really helpful and easy to work with.
Mahtab,· 35 reviews,Local Guide,4 months ago,Poor customer service.
Hassan Al Shammari,· 13 reviews,Local Guide,7 months ago,Very slow
Sebastien Roux,· 22 reviews,Local Guide,5 years ago,Says it closes at 7 but closes at 4pm on sundays.... lost 30mins of my day
kathy munro,· 85 reviews,Local Guide,2 years ago,Long wait time with no one ahead of me and no one answering pages to help serve me.
4G,2 reviews,,5 years ago,I live near by. Do they send missed orders to the Canda post in there? or is in another place?
Sarah Aziz,· 28 reviews,Local Guide,2 years ago,Toooooooo lazy and rude staffs. Only harass customer.
M Park,1 review,,2 years ago,Staffs are unbelievably rude.
Danial Afkhami,· 79 reviews,Local Guide,6 months ago,Good service
Na Zhao,2 reviews,,2 years ago,The staffs are very kind.
A K,· 47 reviews,Local Guide,4 years ago,One of the best Canada post
Yannick TRUCHOT,· 121 reviews,Local Guide,3 years ago,"Service at the top, fast and efficient, in French, thank you Sébas …"
YUNMEE LEE (캐린이),· 105 reviews,Local Guide,3 years ago,Relatives! Relati …
chiara calabrese,· 64 reviews,Local Guide,2 years ago,
Brian Patino,· 8 reviews,Local Guide,10 months ago,
meesung park,,,2 years ago,
Suh.pardisi@gmail.com Pardis3142,7 reviews,,2 weeks ago,
tbsp,4 reviews,,3 years ago,"I’ve always had a positive experience at this pharmacy-connected Canada Post. The workers there may get to you a bit slow because it is a quiet, low-volume location, but they are helpful and polite. Deserves a better rating!"
A LW,4 reviews,,2 months ago,my favourite location!! lines can def get long but Ivy and all the workers there are genuinely the loveliest people who I always like seeing when i ship my packages
Josephine Fenoglio,18 reviews,,a week ago,Eventhough there is only one person behind the counter she is always pleasant and helpful!
Lu Ilo,11 reviews,,5 months ago,Terrible service. Disorganized with parcels. Unable to find packages that have been delivered to them.. …
east coaster,· 115 reviews,Local Guide,2 years ago,"I find the staff courteous, friendly and efficient. Those people who say otherwise are liars. It's the same folks there every day, and they're always courteous despite having to deal with your attitudes. Just be quiet, wait your turn, and …"
Sherill Chapman,· 39 reviews,Local Guide,3 years ago,"To all the people criticizing the staff here, maybe try being friendly, kind, and having some patience. Working this counter would not be an easy job. They are often extremely busy and as others have pointed out, under-staffed - which has …"
Paul Steward,· 9 reviews,Local Guide,a year ago,Extremely poorly staffed location. Waiting in a lineup inside is not covid safe. With “Delivery” drivers not understanding their actual jobs. Being constantly forced to wait like this must be terrible for the staff and people who should …
Kate Da Great,5 reviews,,2 years ago,"Others who have issues with lines here and waiting should reflect on their own poor time management and check their privilege. This is uncommon common sense, folx. You’re welcome to work the long hours here dealing with impatient people …"
Michael J,· 99 reviews,Local Guide,a year ago,"Slow, not particularly cheerful, and when I went to pay, what really kills me is this. Canada Post has a rating option where you can rate your service on a scale of one to five. He rated himself five before giving me the Interac terminal. …"
Adam,· 29 reviews,Local Guide,4 years ago,How am I the first to rate this? Probably because every user is so frustrated they never want to think of it again. …
Asif Mohammed,· 38 reviews,Local Guide,3 years ago,Avoid going to this canadapost they do not have any form of customer service. I had to ship out a package for one of my customer which was very important. The lady working refused to take the package as it was over weight by 400grams. I …
Nadine Stefoff,· 194 reviews,Local Guide,a year ago,"It's incredibly crowded and always understaffed. The line for the post 📫 is unacceptable. I waited 45 min to pick up a pkg, when they didn't ring my house! …"
Serhat Ali Simsek,· 33 reviews,Local Guide,a year ago,very slow service. it takes usually 30 munites to drop the package. So far two of my package is lost by this location. I never had this issue with previous location.!!
John Zinck,· 94 reviews,Local Guide,2 years ago,"I wanted to purchase a couple international reply coupons. Was told they don’t carry them because the demand is low. I asked if they would order some in and was told no, to try a different location. Nice customer service for a public corporation."
Victoria Mateo,13 reviews,,2 years ago,I have never seen a customer service bad and rude like that ! It is a shame! Canada post should control more who they hire !
Laura Goddard,3 reviews,,5 years ago,Service is always professional & friendly.  I usually only have to wait 1-3 minutes during standard Monday to Friday business hours.
Srch 4Trth with Joanne,8 reviews,,4 years ago,"I can't believe that this post office at Coxwell and Gerrard is here in Google with the picture of their store, the address of the store, the directions how to get to their store, but do they show a phone number where they can be reached …"
Jordan Fry,12 reviews,,a year ago,The lineups of only 5-6 people take well over 45mins because of how slow and understaffed it is
sqorpy,· 50 reviews,Local Guide,2 years ago,"Worst Postal Service in Toronto.
Staff are extremely slow (seems deliberate), rude and unfriendly."
jrusha ved,4 reviews,,3 years ago,Very very slow service. Just one executive working and people have been waiting in line for over 15-20 mins.
Joseph G.,11 reviews,,3 years ago,Very slow service. Show up at Lunch and be out by 5pm if you want to send a Xmas card.
Rob McLaren,1 review,,4 years ago,One of the more relaxed lineups in the neighbourhood. Usually some chill Bryan Adams or John Mayer playing on the soundsystem.
Sanjay Lakhana,1 review,,a month ago,a shack post office in a metropolis
Jeff Ryan,3 reviews,,5 years ago,"People complain too much. I've had to wait 5 minutes a few times. Other times, I haven't had to wait at all. Staff are friendly."
Lianna B,8 reviews,,2 years ago,Very poor service. Staff have little regard for customer’s time.
Brian,· 164 reviews,Local Guide,a year ago,"Wow, someone isn’t doing their job. This should not take 20mins to drop off a package. 👎 …"
Elif Bor,4 reviews,,4 years ago,Their Canada Post is ALWAYS understaffed. Every time. Just ask the endless lineup behind me 🙄 …
Peter Henderson,1 review,,a year ago,Unbelievably slow service.   Avoid.
M McMillan,1 review,,2 years ago,Avoid here. Super rude and bad customer service
Jacquie S,8 reviews,,5 years ago,Never staffed properly. Long wait year round.
Jordan Stock,· 190 reviews,Local Guide,2 years ago,Postage note lies about time.
Nachos Martini,· 30 reviews,Local Guide,2 years ago,Service is dependably slooooooow!
Joshua V,· 33 reviews,Local Guide,3 years ago,The service is very slow
aidan chong,8 reviews,,2 years ago,Bruh.
Kevin Lou,3 reviews,,4 years ago,The worse
Mia Cheng,11 reviews,,3 years ago,Unfriendly staffs
Edward Bennett,25 reviews,,a year ago,
Tyler Tam,1 review,,3 years ago,
J Crosby,· 17 reviews,Local Guide,2 years ago,
Steve Dixon,· 22 reviews,Local Guide,a year ago,
Itchy Joey,· 50 reviews,Local Guide,2 years ago,
Jenifyr Harvey,· 182 reviews,Local Guide,11 months ago,
Seidai Takano,,,4 years ago,
sahil sherwa,· 12 reviews,Local Guide,a year ago,
Chirag Golani,11 reviews,,8 months ago,
John Crowell,,,5 years ago,
Harry Xiao,· 51 reviews,Local Guide,4 years ago,
Waseem B,21 reviews,,5 years ago,
Anita Windisman,· 982 reviews,Local Guide,5 years ago,"This Canada Post location is a bit difficult to find, because it is located in the Rexall drug store on the lover level, beside Whole Foods. …"
Kerri Brillinger,17 reviews,,a year ago,"We have been going to this post office for a while now. Yeah it's small but if you need to pick up a package, send a money gram transfer, or ship something they got you. The hours staying open until 8pm makes it convenient when having to go after work. The staff have been helpful and friendly!"
Ingmar Büchner,· 67 reviews,Local Guide,6 months ago,"Flakiest post office… 50% of the time I come here, they are closed, even though the office hours are open. Time wasters…"
Jeremy,10 reviews,,7 months ago,"Not open when they say they are :/

wasted a lot of my time"
Ms. Davis,· 24 reviews,Local Guide,2 years ago,"What a misleading information, it says it's open until 6pm and I get here at 5pm and it's already closed, just waste of time. Smh, these big businesses need to do better and stop falsely misleading customers."
Hj Kaye,· 162 reviews,Local Guide,2 years ago,"The Rexall at this location is abysmal. They staff the post office, which is only marginally better. Sometimes the drugstore cashiers man the P-O and they are just as useless there."
Juan Pedro Aramburu,4 reviews,,2 years ago,"I've been to this location 3 times during the listed working hours but they are always closed. One day there was someone there but didn't wanted to help me. Not sure what's going on, avoid this branch."
Keeyan Ravanshid,· 41 reviews,Local Guide,2 years ago,This post office continually violates the Canada Post Corporation Act and has no regard for the satisfaction of customers.
A tate,5 reviews,,3 years ago,Slow service. One particular associate berates you for every little thing. I will go elsewhere.
Haochi Zhang,· 59 reviews,Local Guide,2 years ago,Please stop wasting people's time by updating your open/close time to date on the website.
Aniela Tolentino,12 reviews,,2 years ago,Not open on Sundays. Waste of time.
Kristen Malik,12 reviews,,4 years ago,They closed because someone called in sick.
Ian Ainsworth,7 reviews,,2 years ago,Excellent service.
Brett Innis,· 372 reviews,Local Guide,a year ago,
Yewon Lee,2 reviews,,4 years ago,
ymmt ayn,12 reviews,,3 years ago,
Marla Hebscher,2 reviews,,a year ago,
atleigh watson,· 26 reviews,Local Guide,2 years ago,
Ali Naqi,· 2 reviews,Local Guide,4 years ago,
J S,· 5 reviews,Local Guide,9 months ago,
Bid416 Auctions,1 review,,a year ago,"Have a business account.  Supervisor, just plain rude and unprofessional.  Asked for them not to send a Transit for the pick up as our load was bigger, send a regular size vehicle.   Asked if we had a dock, told her we don't need a 5ton …"
Tatsiana Dickson,· 45 reviews,Local Guide,a year ago,"Go the extra mile up to shoppers to ship/mail out anything. It's been almost a week since I dropped a parcel to ship and still it has yet to be scanned. This is absolutely ridiculous and a waste of money, time and effort. Especially for small businesses like my own."
Franco Cicchetti,· 281 reviews,Local Guide,2 years ago,They send your mail. I usually get it on time. Sometimes I don't. I don't like flyers though so please stop sending those. They also ship some Amazon packages.. Amazing
Hmd M,· 75 reviews,Local Guide,a year ago,"Canada post had some issue with the apartment where i am and i had to go pick up the mail from this branch. Went smooth, the lady was super nice! Thanks!"
Deepa Ochani,5 reviews,,7 years ago,I  am waiting for an important mail. I called  canada post-kipling branch.  The nice lady help me through the mail and responded very nicely and humble way. It's hard to find such dedicated job loving people. …
Aly,7 reviews,,a year ago,"Is this place even real? Got a call from them a few days ago and I dont even live in the area, not even close. What kind of hours are 9am-12pm? Their location isnt even listed on the canada post website"
YOUSEF MB (yousefmb),· 32 reviews,Local Guide,5 years ago,"great and fast
i believe drooping off your mail in this location is faster than drooping them at shoppers drug marts as it's one of the main Canada post stations in Etobicoke"
Faith Ivy,· 88 reviews,Local Guide,3 years ago,Probably the worst Depot for an employee. The superintendent and staffing are the root cause of it.
Abram Jeylani,3 reviews,,5 years ago,Never pick up the phone 📱 so devastated 😏 …
SCORPIO “Scorpio Bookstore” BSTORE,4 reviews,,5 years ago,Can you please stop carding our parcels?
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Emmanuel Laguardia,· 63 reviews,Local Guide,4 months ago,"I will give them 5 stars. I understand most of the reviews are 1 star however, as I understood them they are old people managing their store and family business. You just need to give them patience too.  Ive been to this store many many …"
Megumi Carmona,10 reviews,,3 months ago,They are so accommodating and very nice! I was shipping my appliances and they helped a lot to even pack it. It was such a nice experience
Joaquin Antonio Garcia,4 reviews,,5 months ago,"The lady who attends to the public does not have any patience, and she does not know how to explain things well, nor does she do everything possible to help her clients. The truth is, I felt disappointed, another client who was there helped …"
Andrei Lyubivy,16 reviews,,a month ago,"Always good experience, living close by …no need to search for better place ."
Vickie Tieu,15 reviews,,2 years ago,"If I can rate this place 0 star I would. The woman was extremely terrible and discriminatory. I came here to drop off some packages and was asking for her help. Yet I was being lectured with statements like ""don't you know how to do this"" …"
Alder Dunlap,11 reviews,,3 years ago,I have been coming to this post office for 10 years. The owners know me by name and are always friendly and chatty and say hello. I do not understand the negative reviews on here talking about their lack of customer service. There may be a …
Kanan Patel,· 37 reviews,Local Guide,3 years ago,"I wish I could give the owners 0 stars. I have been to this location a few  times... and aside from the rudeness, have noticed the rates for mailing letters and packages seemed always to be more than other post office locations. I thought …"
Sasha B,15 reviews,,2 years ago,Consistently disappointed with service here. Went to mail two pkgs abroad. I wrote the address on the box itself. Received a lecture about how this was wrong and caused issues with how/where she can apply the label. After asking why she …
C,· 19 reviews,Local Guide,4 years ago,"I want to be compassionate in this review, because it seems that if people are this disgruntled enough to consistently take it out on customers, there must be more going on behind the scenes. But the treatment I receive when I come in - …"
Shawna Naklicki,· 8 reviews,Local Guide,2 years ago,"I've never had issues with this post office - I've lived in the area for over 2 years and pick up/send packages here all the time. Sometimes there's a little bit of a wait, but that's expected with post offices. The three people I've seen working there are always very cordial and nice."
Cguinta84,3 reviews,,2 years ago,"I just had the worse service ever at this location trying to return a package. They wouldn’t accept the return label from the store, asked me to print out a different one but then charged me $2 PLUS taxes for half a sheet of paper. When I …"
John,3 reviews,,2 years ago,"I had my ink cartridge refilled at this postal outlet.  They know what they are doing and very prefessional, no issue so far.  I will com back to use their other service in the future!"
Dwayne Donaldson,3 reviews,,a year ago,"See , any other post office no problem at all.  What is wrong with you people?  Worst postal outlet I’ve dealt with in 24 years of shipping items I sell."
Renee Livingston,· 56 reviews,Local Guide,5 years ago,"Overall, process was relatively quick and painless and I would return. The lady who helped me went through a couple of options with me, prices, and shipping time - every option was ~$20 more than what I had tried calculating online but no …"
Daisy Junction,9 reviews,,6 years ago,"I've been going to this post office for many years now, since I live in the neighborhood. Service is pretty fast, especially since they got second computer station. They are always busy, and there is always a line, but they work very fast. …"
frank baker,1 review,,5 years ago,The man is very friendly whenever I visit the Post Office. The woman is  rude and very unpleasant to deal with. Countless times I have stood in line and witnessed her being difficult for the sake of being difficult to customers when it is …
Sandra Muscat,7 reviews,,4 years ago,"MOST AWFUL, TRULY PAINFUL EXPERIENCE!!! (now updated at the end)
I live in the neighbourhood have used this PO for years. I am a VERY regular customer and they know me there. I even supported their petition many years ago …"
Hubert Wojda,· 152 reviews,Local Guide,5 years ago,This post office isn't a comfortable location.  The family doesn't seem to care about their costumes ..I was told one of the employees was in the washroom. I waited for about 10 min and turns out the person was eating lunch. I wasn't the only customer waiting to be surved other customers we're also making comments about the timing
Stephanie Santiago,· 26 reviews,Local Guide,4 years ago,"Have come here to pick up and send off packages for the last 3 years, never had to wait more than 5 minutes in line. Always treated in a professional manner, have always been offered tracking and whatever add-ons to sending out packages but I've always declined with ease."
Miguel Pereira,· 315 reviews,Local Guide,3 years ago,"Passport Photos - Stay away.
Went there to have citizenship photos.
I had to show the requirements. After the photos paid and taken, I asked to …"
Gurpreet Singh,1 review,,a year ago,No waiting when I went. They patiently helped me select the right option for international shipping. …
BERNARD VAN SPEYK,3 reviews,,3 years ago,Extremely nice people. Very polite and extremely helpful. This has been my neighborhood post office since we moved here 14 years ago.
E E,50 reviews,,5 years ago,"The family that runs this post office is a joke.

They treat their customers openly disrespectfully. Both myself and the customer …"
torontochap1,· 454 reviews,Local Guide,4 years ago,"Owner/operator here claim no space to accept my canada post return item, after they saw the large box. Made me take it back. All other corporate offices closed due to rotating strikes."
